date,os_type,campaign_name,campaign_id,spend,impressions,clicks,backend_orders,backend_gmv,product,cpm,cpc,ctr,cpa_purchase,aov,backend_roi
2026-06-02,ANDROID,dhgate_dpa-and_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260511,M0ZXR7rklCeN7J9o,74.53,40405,2017,,,,,,,,,
2026-06-02,IOS,dhgate_product314_UK_Purchase 30D_purchase_IAP_Kelsey_20260424,NmHyz3ZrSwNTmf0j,50.34,1606,309,,,,,,,,,
2026-06-02,IOS,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,OG6WHvKPBaUM1wDo,50.14,6480,497,,,,,,,,,
2026-06-02,ANDROID,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,uNF1ALuKQFoHzngn,63.68,2532,1142,,,,,,,,,
2026-06-02,IOS,dhgate_product300_T1_Purchase 30D_purchase_IAP_Kelsey_20260421,wGMfDvBHm0s02IeZ,50.22,4012,407,,,,,,,,,
2026-06-02,ANDROID,dhgate_product148_T1_Purchase 30D_purchase_IAP_Kelsey_20260415,dVlitdxzfmXStKCR,100.29,9352,894,,,,,,,,,
2026-06-02,IOS,dhgate_product138_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260403,zNcB24si9mbzBPed,135.03,8666,1839,,,,,,,,,
2026-06-02,IOS,dhgate_product137_US_Purchase 30D_purchase_IAP_Kelsey_20260402,Eo7scqEETcYxo6WH,50.1,4177,237,,,,,,,,,
2026-06-02,IOS,dhgate_product121_US_Purchase 30D_purchase_IAP_Kelsey_20260222,HGuWXrsF7XcJ6CCt,50.03,3623,200,,,,,,,,,
2026-06-02,IOS,dhgate_dpa-ios_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,y55faIMh7doL5RvO,98.0,114389,1031,,,,,,,,,
2026-06-02,ANDROID,dhgate_product315_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260425,bedUOEtGfoRFbmze,48.07,5364,682,,,,,,,,,
